stim_id,cue_en,target_en,condition,route_cue_zh,route_target_zh,delete,changed,reason,rw_en,"rw_zh, alignment weighted",str_en,"str_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_s_zh,route_cue_other_translations,route_target_other_translations,cov_distance,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,cue_zh,target_zh,cue_len,target_len
0,animal,cat,M+E+,动物,猫,,,,0.30554860830307000,0.22752249240875200,0.14457830786705000,0.06921393424272540,24.0,10.036020278930700,0.84472525,0.82852244,0.83662385,0.5035275816917420,0.4880292117595670,0.5903541445732120,1.0,0.11724138259887700,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.488277109658930,0.6573555,0.70452857,0.68094206,动物,猫,6,3
1,animal,world,M+E-,动物,世界,,,,0.04042018577456470,0.03589353337883950,0.0,0.02442844770848750,0.0,3.5421247482299800,0.84472525,0.7565454,0.80063534,0.5035275816917420,0.2459629625082020,0.5903541445732120,1.0,0.04137931019067760,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.3570367305685900,0.6573555,0.47041208,0.5638838,动物,世界,6,5
2,animal,kingdom,M-E+,,,,,,0.1099073588848110,0.03878626972436910,0.024096384644508400,0.0,4.0,0.0,0.84472525,0.7754183,0.81007177,,,,,,,,1.0999119131638300,0.6573555,0.27346176,0.46540862,动物,王国,6,7
3,author,novel,M+E+,作者,小说,,,,0.45325803756713900,0.1567145138978960,0.043668121099472000,0.04411748796701430,10.0,4.191161632537840,0.7721143,0.7521042,0.7621093,0.4292629063129430,0.521359920501709,0.349263459444046,1.0,0.12631578743457800,"[{'zh': '作家', 'rcs': 0.5371952652931213, 'w': 0.3017924982462423}, {'zh': '写作', 'rcs': 0.2703870832920074, 'w': 0.21036091366891385}, {'zh': '著作', 'rcs': 0.4064566791057586, 'w': 0.13858312553074836}]",[],0.5038525045203680,0.32956252,0.10797054,0.21876653,作者,小说,6,5
4,author,volume,M+E-,著作,书,y,,poor translation,0.028228644281625700,0.054005034267902400,0.0,0.010992971248924700,0.0,1.0443322658538800,0.7721143,0.5494763,0.66079533,0.4064566791057590,0.3105139434337620,0.13858312368392900,0.3737623393535610,0.09195402264595030,"[{'zh': '作者', 'rcs': 0.4292629063129425, 'w': 0.3492634625540954}, {'zh': '作家', 'rcs': 0.5371952652931213, 'w': 0.3017924982462423}, {'zh': '写作', 'rcs': 0.2703870832920074, 'w': 0.21036091366891385}]","[{'zh': '卷', 'rcs': 0.2456445693969726, 'w': 0.4710926004976253}, {'zh': '体积', 'rcs': 0.2032073885202407, 'w': 0.15514505981621135}]",1.1162503716925700,0.32956252,0.056216206,0.19288936,作者,卷,6,6
5,author,title,M-E+,,,,,,0.31767088174819900,0.009566822089254860,0.021834060549736000,0.0,5.0,0.0,0.7721143,0.3663952,0.56925476,,,,,,,,1.1045123961806200,0.32956252,0.0030042636,0.16628338,作者,冠军,6,5
6,award,trophy,M+E+,奖,奖杯,,,,0.48553237318992600,0.2970958948135380,0.11267605423927300,0.02871728502213960,24.0,3.331205129623410,0.719095,0.7523289,0.73571193,0.3378996849060060,0.2394146025180820,0.21124403178691900,1.0,0.11538461595773700,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖学金', 'rcs': 0.2771758139133453, 'w': 0.1341402113237985}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.9008148329811740,0.5372194,0.14404662,0.340633,奖状,奖杯,5,6
7,award,pupil,M+E-,奖学金,学生,,,,0.03483842313289640,0.07538040727376940,0.0,0.016409877687692600,0.0,1.9035457372665400,0.719095,0.7207131,0.71990407,0.2771758139133450,0.3569338321685790,0.13414020836353300,1.0,0.03846153989434240,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖', 'rcs': 0.3378996849060058, 'w': 0.2112440321292032}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.8526757098257220,0.5372194,0.26879975,0.4030096,奖状,学生,5,5
8,award,ribbon,M-E+,,,,,,0.21540814638137800,0.015354295261204200,0.014084506779909100,0.0,3.0,0.0,0.719095,0.7566797,0.7378874,,,,,,,,0.9912386152531760,0.5372194,0.4454856,0.4913525,奖状,丝带,5,6
9,barrel,wood,M+E+,桶,木,,,,0.08729492872953420,0.06272943317890170,0.08372092992067340,0.016880296170711500,18.0,1.5867478847503700,0.72587246,0.72057724,0.7232249,0.4394333362579350,0.2228804677724840,1.0,0.26445797085762000,0.06382978707551960,[],"[{'zh': '林地', 'rcs': 0.3142346739768982, 'w': 0.2644579592310321}, {'zh': '树林', 'rcs': 0.3620069622993469, 'w': 0.2644579592310321}, {'zh': '木头', 'rcs': 0.5249272584915161, 'w': 0.14812697031238062}, {'zh': '木材', 'rcs': 0.4958810210227966, 'w': 0.05849915199452298}]",1.0933451347483600,0.19569644,0.37188697,0.28379172,桶,林地,6,4
