cue_en,target_en,condition,route_cue_zh,route_target_zh,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason,cue_duplicated,target_duplicated,has_duplicate
academy,study,M+E+,学术,研究,0.028301887214183807,0.008575646206736565,,0.21624325215816498,0.05851449817419052,6.0,1.0282189846038818,0.2459141016006469,0.5011349320411682,0.10639239847660065,0.5369112491607666,"[{'zh': '学业', 'rcs': 0.2247437387704849, 'w': 0.35493532946998657}, {'zh': '中学', 'rcs': 0.328750878572464, 'w': 0.35493532946998657}, {'zh': '学院', 'rcs': 0.4789387881755829, 'w': 0.18373694213169306}]","[{'zh': '学习', 'rcs': 0.2978116571903229, 'w': 0.46308877969366075}]",1.3408584745846774,7,5,学业,研究,0.71428543,0.7599818,0.7371336,0.32913455,0.11891741,0.22402598,,,,,
academy,score,M+E-,学业,成绩,0.0,0.010287980549037457,,0.046971820294857025,0.04439058154821396,0.0,1.1831177473068237,0.2247437387704849,0.3146375119686126,0.35493531823158264,0.3333333432674408,"[{'zh': '中学', 'rcs': 0.328750878572464, 'w': 0.35493532946998657}, {'zh': '学院', 'rcs': 0.4789387881755829, 'w': 0.18373694213169306}, {'zh': '学术', 'rcs': 0.2459141016006469, 'w': 0.10639239892833376}]","[{'zh': '分数', 'rcs': 0.2448720633983612, 'w': 0.3333333333333333}, {'zh': '得分', 'rcs': 0.3324843347072601, 'w': 0.3333333333333333}]",1.3791152161472822,7,5,学业,分数,0.71428543,0.76063496,0.7374602,0.32913455,0.09729247,0.2132135,,,,,
academy,military,M-E+,,,0.03773584961891174,0.0,,0.13291588425636292,0.006068270653486252,8.0,0.0,,,,,,,0.8544103200574085,7,8,学业,军事,0.71428543,0.76135147,0.7378185,0.32913455,0.24250275,0.28581864,,,,,
academy,award,M-E+,,,0.014150943607091904,0.0,,0.21610750257968903,0.03683903068304062,3.0,0.0,,,,,,,0.9806760047809021,7,5,学业,奖状,0.71428543,0.719095,0.7166902,0.32913455,0.5372194,0.433177,,,,,
accent,language,M+E+,口音,语言,0.1319444477558136,0.028846153989434242,,0.34439364075660706,0.3353999853134155,19.0,3.0,0.3899897933006286,0.5519654750823975,1.0,1.0,[],[],1.4122182692415008,6,8,口音,语言,0.7131837,0.75385934,0.7335215,0.2640083,0.12085782,0.19243306,,,,,
accent,north,M+E-,口音,北方,0.0,0.01923076994717121,,0.06984800845384598,0.16715000569820404,0.0,2.0,0.3899897933006286,0.4036663472652435,1.0,0.5,[],"[{'zh': '北', 'rcs': 0.4191935062408447, 'w': 0.5}]",1.3100990591189365,6,5,口音,北,0.7131837,0.76890206,0.74104285,0.2640083,0.7031058,0.48355705,,,,,
accent,stress,M-E+,,,0.0416666679084301,0.0,,0.0615403838455677,0.01863349974155426,6.0,0.0,,,,,,,0.6138881035233194,6,6,口音,重要性,0.7131837,0.60531676,0.65925026,0.2640083,0.20321737,0.23361284,,,,,
accent,sound,M-E+,,,0.02083333395421505,0.0,,0.10766205191612244,0.03357392176985741,3.0,0.0,,,,,,,1.4771443714591737,6,5,口音,音响,0.7131837,0.73403955,0.7236116,0.2640083,0.33101895,0.29751363,,,,,
account,password,M+E+,账号,密码,0.013392857275903225,0.11138815432786942,,0.17882221937179565,0.21699897944927216,3.0,12.698249816894531,0.209669679403305,0.3928371667861938,0.3527291715145111,1.0,"[{'zh': '账户', 'rcs': 0.260015457868576, 'w': 0.35272915752616085}, {'zh': '解释', 'rcs': 0.3338226079940796, 'w': 0.137008650666965}, {'zh': '报告', 'rcs': 0.2991873025894165, 'w': 0.08038487412994258}, {'zh': '叙述', 'rcs': 0.3037384748458862, 'w': 0.07714816015077071}]",[],1.2628484265250979,7,8,账号,密码,0.7418077,0.7235401,0.7326739,0.2522241,0.4230424,0.33763325,,,,,
account,safety,M+E-,账号,安全,0.0,0.012376462109386921,,0.027424639090895653,0.033544544130563736,0.0,1.4109166860580444,0.209669679403305,0.3963530957698822,0.3527291715145111,1.0,"[{'zh': '账户', 'rcs': 0.260015457868576, 'w': 0.35272915752616085}, {'zh': '解释', 'rcs': 0.3338226079940796, 'w': 0.137008650666965}, {'zh': '报告', 'rcs': 0.2991873025894165, 'w': 0.08038487412994258}, {'zh': '叙述', 'rcs': 0.3037384748458862, 'w': 0.07714816015077071}]",[],0.8412831688640424,7,6,账号,安全,0.7418077,0.7763222,0.7590649,0.2522241,0.13282432,0.1925242,,,,,
