cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
animal,lion,,M+E+,兽,狮子,,,,0.01807228848338130,0.01628563180565830,,0.37957504391670200,0.3275284767150880,3.0,2.3614165782928500,0.3038774132728580,0.4708922505378720,0.2910345494747160,1.0,"[{'zh': '动物', 'rcs': 0.5035275816917419, 'w': 0.5903541331444218}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.1804805255717300,6,4,动物,狮子,0.84472525,0.8407687,0.842747,0.6573555,0.5122847,0.5848201,y,global uniqueness
animal,world,,M+E-,动物,世界,,FALSE,TRUE,0.0,0.0244284477084875,0.0413793101906776,0.0404201857745647,0.0358935333788395,0.0,3.54212474822998,0.503527581691742,0.245962962508202,0.590354144573212,1.0,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.35703673056859,6,5,动物,世界,0.84472525,0.7565454,0.80063534,0.6573555,0.47041208,0.5638838,,
animal,kingdom,,M-E+,,,,FALSE,TRUE,0.0240963846445084,0.0,,0.109907358884811,0.0387862697243691,4.0,0.0,,,,,,,1.09991191316383,6,7,动物,王国,0.84472525,0.7754183,0.81007177,0.6573555,0.27346176,0.46540862,,
award,trophy,,M+E+,奖,奖杯,FALSE,FALSE,FALSE,0.112676054239273,0.0287172850221396,0.115384615957737,0.485532373189926,0.297095894813538,24.0,3.33120512962341,0.337899684906006,0.239414602518082,0.211244031786919,1.0,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖学金', 'rcs': 0.2771758139133453, 'w': 0.1341402113237985}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.900814832981174,5,6,奖状,奖杯,0.719095,0.7523289,0.73571193,0.5372194,0.14404662,0.340633,,
award,pupil,,M+E-,奖学金,学生,FALSE,FALSE,FALSE,0.0,0.0164098776876926,0.0384615398943424,0.0348384231328964,0.0753804072737694,0.0,1.90354573726654,0.277175813913345,0.356933832168579,0.134140208363533,1.0,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖', 'rcs': 0.3378996849060058, 'w': 0.2112440321292032}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.852675709825722,5,5,奖状,学生,0.719095,0.7207131,0.71990407,0.5372194,0.26879975,0.4030096,,
award,ribbon,,M-E+,,,FALSE,FALSE,FALSE,0.0140845067799091,0.0,,0.215408146381378,0.0153542952612042,3.0,0.0,,,,,,,0.991238615253176,5,6,奖状,丝带,0.719095,0.7566797,0.7378874,0.5372194,0.4454856,0.4913525,,
barrel,wood,No replacement,M+E+,桶,木,FALSE,TRUE,TRUE,0.0837209299206734,0.0168802961707115,0.0638297870755196,0.0872949287295342,0.0627294331789017,18.0,1.58674788475037,0.439433336257935,0.222880467772484,1.0,0.26445797085762,[],"[{'zh': '林地', 'rcs': 0.3142346739768982, 'w': 0.2644579592310321}, {'zh': '树林', 'rcs': 0.3620069622993469, 'w': 0.2644579592310321}, {'zh': '木头', 'rcs': 0.5249272584915161, 'w': 0.14812697031238062}, {'zh': '木材', 'rcs': 0.4958810210227966, 'w': 0.05849915199452298}]",1.09334513474836,6,4,桶,林地,0.72587246,0.72057724,0.7232249,0.19569644,0.37188697,0.28379172,,
barrel,rice,,M+E-,桶,饭,FALSE,FALSE,FALSE,0.0,0.0159574467688799,0.0638297870755196,0.0619813427329063,0.0687749981880188,0.0,1.5,0.439433336257935,0.460202395915985,1.0,0.25,[],"[{'zh': '米饭', 'rcs': 0.5950742959976196, 'w': 0.25}, {'zh': '大米', 'rcs': 0.5953600406646729, 'w': 0.25}, {'zh': '米', 'rcs': 0.2004998624324798, 'w': 0.25}]",0.988582821894494,6,4,桶,米饭,0.72587246,0.86023504,0.79305375,0.19569644,0.17163135,0.1836639,y,duplicate route
barrel,rain,,M-E+,,,,,,0.01860465109348300,0.0,,0.06995107978582380,0.026399999856948900,4.0,0.0,,,,,,,1.2776826955843200,6,4,桶,下雨,0.72587246,0.7865754,0.7562239,0.19569644,0.34192422,0.26881033,y,global uniqueness
belt,leather,,M+E+,腰带,皮革,,FALSE,TRUE,0.108490563929081,0.0101643577218056,0.0333333350718021,0.27463361620903,0.123893350362778,23.0,0.91479218006134,0.416351497173309,0.617032468318939,0.304930716753006,1.0,"[{'zh': '带', 'rcs': 0.2452611625194549, 'w': 0.3271426424436043}, {'zh': '皮带', 'rcs': 0.4041090309619903, 'w': 0.19097368060181708}, {'zh': '带子', 'rcs': 0.2921146154403686, 'w': 0.17695295689897544}]",[],1.49117042728792,4,7,带,皮革,0.76060283,0.7873352,0.77396905,0.30838487,0.21277216,0.2605785,,
