id,cue_en,target_en,condition,cue_zh,target_zh,cue_len,target_len,rw_en,"rw_zh, alignment weighted",str_en,"str_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_zh,route_target_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_s_zh,route_cue_other_translations,route_target_other_translations,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,cov_distance
0,animal,cat,M+E+,动物,猫,6,3,0.30554860830307007,0.22752249240875244,0.14457830786705017,0.06921393424272537,24.0,10.036020278930664,动物,猫,0.5035275816917419,0.4880292117595672,0.5903541445732117,1.0,0.11724138259887695,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],0.84472525,0.82852244,0.83662385,0.6573555,0.70452857,0.68094206,1.488277109658928
1,animal,world,M+E-,动物,世界,6,5,0.04042018577456474,0.03589353337883949,0.0,0.02442844770848751,0.0,3.5421247482299805,动物,世界,0.5035275816917419,0.2459629625082016,0.5903541445732117,1.0,0.04137931019067764,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],0.84472525,0.7565454,0.80063534,0.6573555,0.47041208,0.5638838,1.3570367305685915
2,animal,kingdom,M-E+,动物,王国,6,7,0.1099073588848114,0.03878626972436905,0.024096384644508362,0.0,4.0,0.0,,,,,,,,,,0.84472525,0.7754183,0.81007177,0.6573555,0.27346176,0.46540862,1.0999119131638262
3,author,novel,M+E+,作者,小说,6,5,0.45325803756713867,0.1567145138978958,0.043668121099472046,0.04411748796701431,10.0,4.191161632537842,作者,小说,0.4292629063129425,0.521359920501709,0.349263459444046,1.0,0.12631578743457794,"[{'zh': '作家', 'rcs': 0.5371952652931213, 'w': 0.3017924982462423}, {'zh': '写作', 'rcs': 0.2703870832920074, 'w': 0.21036091366891385}, {'zh': '著作', 'rcs': 0.4064566791057586, 'w': 0.13858312553074836}]",[],0.7721143,0.7521042,0.7621093,0.32956252,0.10797054,0.21876653,0.5038525045203683
4,author,volume,M+E-,作者,卷,6,6,0.028228644281625748,0.054005034267902374,0.0,0.010992971248924732,0.0,1.0443322658538818,著作,书,0.4064566791057586,0.3105139434337616,0.13858312368392944,0.3737623393535614,0.09195402264595032,"[{'zh': '作者', 'rcs': 0.4292629063129425, 'w': 0.3492634625540954}, {'zh': '作家', 'rcs': 0.5371952652931213, 'w': 0.3017924982462423}, {'zh': '写作', 'rcs': 0.2703870832920074, 'w': 0.21036091366891385}]","[{'zh': '卷', 'rcs': 0.2456445693969726, 'w': 0.4710926004976253}, {'zh': '体积', 'rcs': 0.2032073885202407, 'w': 0.15514505981621135}]",0.7721143,0.5494763,0.66079533,0.32956252,0.056216206,0.19288936,1.1162503716925667
5,author,title,M-E+,作者,冠军,6,5,0.31767088174819946,0.009566822089254856,0.021834060549736023,0.0,5.0,0.0,,,,,,,,,,0.7721143,0.3663952,0.56925476,0.32956252,0.0030042636,0.16628338,1.1045123961806165
6,award,trophy,M+E+,奖状,奖杯,5,6,0.48553237318992615,0.2970958948135376,0.11267605423927307,0.02871728502213955,24.0,3.331205129623413,奖,奖杯,0.3378996849060058,0.2394146025180816,0.21124403178691864,1.0,0.11538461595773697,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖学金', 'rcs': 0.2771758139133453, 'w': 0.1341402113237985}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.719095,0.7523289,0.73571193,0.5372194,0.14404662,0.340633,0.9008148329811736
7,award,pupil,M+E-,奖状,学生,5,5,0.03483842313289642,0.07538040727376938,0.0,0.016409877687692642,0.0,1.9035457372665405,奖学金,学生,0.2771758139133453,0.3569338321685791,0.13414020836353302,1.0,0.03846153989434242,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖', 'rcs': 0.3378996849060058, 'w': 0.2112440321292032}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.719095,0.7207131,0.71990407,0.5372194,0.26879975,0.4030096,0.8526757098257215
8,award,ribbon,M-E+,奖状,丝带,5,6,0.21540814638137817,0.015354295261204243,0.014084506779909134,0.0,3.0,0.0,,,,,,,,,,0.719095,0.7566797,0.7378874,0.5372194,0.4454856,0.4913525,0.9912386152531759
9,barrel,wood,M+E+,桶,林地,6,4,0.08729492872953415,0.06272943317890167,0.08372092992067337,0.016880296170711517,18.0,1.5867478847503662,桶,木,0.4394333362579345,0.2228804677724838,1.0,0.26445797085762024,0.06382978707551956,[],"[{'zh': '林地', 'rcs': 0.3142346739768982, 'w': 0.2644579592310321}, {'zh': '树林', 'rcs': 0.3620069622993469, 'w': 0.2644579592310321}, {'zh': '木头', 'rcs': 0.5249272584915161, 'w': 0.14812697031238062}, {'zh': '木材', 'rcs': 0.4958810210227966, 'w': 0.05849915199452298}]",0.72587246,0.72057724,0.7232249,0.19569644,0.37188697,0.28379172,1.0933451347483596
10,barrel,log,M+E-,桶,木头,6,3,0.047305986285209656,0.16410000622272491,0.0,0.06382978707551956,0.0,6.0,桶,木头,0.4394333362579345,0.2718109786510467,1.0,1.0,0.06382978707551956,[],[],0.72587246,0.61934423,0.6726084,0.19569644,0.2735067,0.23460157,1.459949146027284
11,barrel,monkey,M-E+,桶,猴子,6,6,0.0991058349609375,0.02192801795899868,0.03720930218696594,0.0,8.0,0.0,,,,,,,,,,0.72587246,0.803336,0.7646042,0.19569644,0.5658823,0.3807894,0.6215740968782988
12,belt,leather,M+E+,带,皮革,4,7,0.27463361620903015,0.12389335036277771,0.10849056392908096,0.010164357721805573,23.0,0.9147921800613403,腰带,皮革,0.4163514971733093,0.6170324683189392,0.304930716753006,1.0,0.03333333507180214,"[{'zh': '带', 'rcs': 0.2452611625194549, 'w': 0.3271426424436043}, {'zh': '皮带', 'rcs': 0.4041090309619903, 'w': 0.19097368060181708}, {'zh': '带子', 'rcs': 0.2921146154403686, 'w': 0.17695295689897544}]",[],0.76060283,0.7873352,0.77396905,0.30838487,0.21277216,0.2605785,1.4911704272879203
13,belt,sack,M+E-,带,袋子,4,4,0.04250582680106163,0.08895009011030197,0.0,0.01078492309898138,0.0,0.9814279675483704,带,袋子,0.2452611625194549,0.2280734628438949,0.3271426558494568,1.0,0.032967034727334976,"[{'zh': '腰带', 'rcs': 0.4163514971733093, 'w': 0.3049307200556031}, {'zh': '皮带', 'rcs': 0.4041090309619903, 'w': 0.19097368060181708}, {'zh': '带子', 'rcs': 0.2921146154403686, 'w': 0.17695295689897544}]",[],0.76060283,0.7359671,0.74828494,0.30838487,0.12801418,0.21819952,0.34696536682848655
14,belt,loop,M-E+,带,圈,4,4,0.1866176426410675,0.011796684935688972,0.04245283082127571,0.0,9.0,0.0,,,,,,,,,,0.76060283,0.65861017,0.7096065,0.30838487,0.543234,0.42580944,0.9150409552957739
15,bench,park,M+E+,长椅,庭院,5,4,0.2968735992908478,0.13757529854774475,0.1593625545501709,0.12394170463085175,40.0,15.492713928222656,长椅,公园,0.2888665795326233,0.5533136129379272,1.0,0.38731783628463745,0.3199999928474426,[],"[{'zh': '庭院', 'rcs': 0.3167878687381744, 'w': 0.3873178485052622}, {'zh': '停车场', 'rcs': 0.4356929063796997, 'w': 0.16419304137673238}, {'zh': '庄园', 'rcs': 0.3247393667697906, 'w': 0.06117126161274324}]",0.7617733,0.78119713,0.7714852,0.66365933,0.1420726,0.40286598,1.195640905863261
16,bench,lover,M+E-,长椅,情人,5,5,0.009054317139089108,0.040962573140859604,0.0,0.012401157990098,0.0,1.5501446723937988,长椅,情侣,0.2888665795326233,0.3756688237190246,1.0,0.3875361680984497,0.03200000151991844,[],"[{'zh': '情人', 'rcs': 0.4167958498001098, 'w': 0.3875361571585559}, {'zh': '爱人', 'rcs': 0.4504662752151489, 'w': 0.22492768568288826}]",0.7617733,0.74432623,0.75304973,0.66365933,0.23645446,0.4500569,1.241096753358518
17,bench,chair,M-E+,长椅,主持,5,5,0.3263390362262726,0.013199999928474426,0.06772908568382263,0.0,17.0,0.0,,,,,,,,,,0.7617733,0.45806354,0.6099184,0.66365933,0.02938048,0.34651992,0.9205385288930256
18,blast,bomb,M+E+,爆炸,核弹,5,4,0.4350455403327942,0.15305694937705994,0.13385826349258423,0.013891114853322506,17.0,1.5280226469039917,爆炸,炸弹,0.4362828135490417,0.4657172560691833,0.7640113234519958,0.3333333432674408,0.05454545468091965,"[{'zh': '响声', 'rcs': 0.3306280076503753, 'w': 0.23598869700517877}]","[{'zh': '核弹', 'rcs': 0.368561178445816, 'w': 0.3333333333333333}, {'zh': '轰炸', 'rcs': 0.3353384733200073, 'w': 0.3333333333333333}]",0.78289163,0.8075657,0.79522866,0.20434366,0.3391666,0.27175513,1.1955943660292476
19,blast,voice,M+E-,爆炸,声音,5,5,0.0399295836687088,0.0795045867562294,0.0,0.01685633510351181,0.0,1.6519207954406738,响声,声音,0.3306280076503753,0.4346926212310791,0.23598869144916534,1.0,0.0714285746216774,"[{'zh': '爆炸', 'rcs': 0.4362828135490417, 'w': 0.7640113029948211}]",[],0.78289163,0.7235539,0.75322276,0.20434366,0.20194404,0.20314385,0.9294008697144905
20,blast,party,M-E+,爆炸,党派,5,5,0.06412847340106964,0.01722845435142517,0.06299212574958801,0.0,8.0,0.0,,,,,,,,,,0.78289163,0.5295197,0.65620565,0.20434366,0.051740978,0.12804233,1.4424811986953099
21,block,street,M+E+,大楼,街道,5,6,0.17185312509536743,0.08155160397291183,0.04830917716026306,0.022198162972927094,10.0,2.3974015712738037,街区,街道,0.3015282750129699,0.4668838083744049,0.3003528416156769,0.4434416890144348,0.1666666716337204,"[{'zh': '大楼', 'rcs': 0.2855587303638458, 'w': 0.30035285066531436}, {'zh': '立方体', 'rcs': 0.3033852279186249, 'w': 0.30035285066531436}, {'zh': '块', 'rcs': 0.3588471710681915, 'w': 0.0989414480040568}]","[{'zh': '街', 'rcs': 0.5340383648872375, 'w': 0.2582630918582018}, {'zh': '路', 'rcs': 0.428592711687088, 'w': 0.17541440449220072}, {'zh': '大街', 'rcs': 0.5593153238296509, 'w': 0.12288080151686276}]",0.5981291,0.77889574,0.68851244,0.13787603,0.3035475,0.22071177,0.8891773781149382
22,block,mansion,M+E-,大楼,大厦,5,7,0.045758865773677826,0.1821640133857727,0.0,0.036042340099811554,0.0,3.604234218597412,大楼,大厦,0.2855587303638458,0.4652509689331054,0.3003528416156769,1.0,0.11999999731779099,"[{'zh': '街区', 'rcs': 0.3015282750129699, 'w': 0.30035285066531436}, {'zh': '立方体', 'rcs': 0.3033852279186249, 'w': 0.30035285066531436}, {'zh': '块', 'rcs': 0.3588471710681915, 'w': 0.0989414480040568}]",[],0.5981291,0.605979,0.60205406,0.13787603,0.01085868,0.07436736,1.4402009273260734
23,block,toy,M-E+,大楼,玩具,5,3,0.09373296052217484,0.036282625049352646,0.04830917716026306,0.0,10.0,0.0,,,,,,,,,,0.5981291,0.7505278,0.67432845,0.13787603,0.20527373,0.17157489,1.1594116762146536
24,border,state,M+E+,边境,国家,6,5,0.16155199706554413,0.09998095780611038,0.03086419776082039,0.01081028301268816,5.0,1.167510747909546,边界,国家,0.3967014253139496,0.2936394810676574,0.1590379923582077,0.734108030796051,0.09259258955717087,"[{'zh': '边境', 'rcs': 0.4416214823722839, 'w': 0.4204810016270035}, {'zh': '边疆', 'rcs': 0.2616983354091644, 'w': 0.4204810016270035}]","[{'zh': '规定', 'rcs': 0.2473006099462509, 'w': 0.26589196465579745}]",0.6317142,0.7015089,0.66661155,0.21258223,0.25638014,0.23448119,1.3195349259653562
25,border,soldier,M+E-,边境,战士,6,7,0.044731561094522476,0.05734517052769661,0.0,0.009503674693405628,0.0,1.0644115209579468,边疆,战士,0.2616983354091644,0.3228359520435333,0.42048099637031555,0.31642675399780273,0.0714285746216774,"[{'zh': '边境', 'rcs': 0.4416214823722839, 'w': 0.4204810016270035}, {'zh': '边界', 'rcs': 0.3967014253139496, 'w': 0.15903799674599292}]","[{'zh': '兵', 'rcs': 0.3273873627185821, 'w': 0.3164267561764707}, {'zh': '军人', 'rcs': 0.4203858375549316, 'w': 0.18820543137467238}, {'zh': '士兵', 'rcs': 0.4214936792850494, 'w': 0.17894105627238624}]",0.6317142,0.75581336,0.6937638,0.21258223,0.31563348,0.26410785,0.7699646229619352
26,border,barrier,M-E+,边境,障碍,6,7,0.18023288249969482,0.015557796694338322,0.02469135820865631,0.0,4.0,0.0,,,,,,,,,,0.6317142,0.6874486,0.6595814,0.21258223,0.09970817,0.1561452,1.0066423638169701
27,brick,cement,M+E+,积木,水泥,5,6,0.4374702572822571,0.1797666847705841,0.021621622145175934,0.012578616850078106,4.0,1.3333333730697632,砖头,水泥,0.3522881269454956,0.5626490116119385,0.3333333432674408,1.0,0.03773584961891174,"[{'zh': '积木', 'rcs': 0.2154386341571808, 'w': 0.3333333333333333}, {'zh': '砖', 'rcs': 0.5376665592193604, 'w': 0.3333333333333333}]",[],0.741537,0.7559994,0.7487682,0.22103651,0.28496802,0.25300226,0.6611438591540121
28,brick,toy,M+E-,积木,玩具,5,3,0.05573732778429985,0.15913334488868713,0.0,0.0451977401971817,0.0,5.333333492279053,积木,玩具,0.2154386341571808,0.4676190018653869,0.3333333432674408,1.0,0.1355932205915451,"[{'zh': '砖头', 'rcs': 0.3522881269454956, 'w': 0.3333333333333333}, {'zh': '砖', 'rcs': 0.5376665592193604, 'w': 0.3333333333333333}]",[],0.741537,0.7505278,0.74603236,0.22103651,0.20527373,0.21315512,1.0121330937879782
29,brick,layer,M-E+,积木,层次,5,5,0.200916588306427,0.01743333414196968,0.021621622145175934,0.0,4.0,0.0,,,,,,,,,,0.741537,0.5463708,0.6439539,0.22103651,0.17130128,0.1961689,1.3416863579321843
30,bubble,soap,M+E+,泡泡,香皂,6,4,0.34357553720474243,0.05552026256918907,0.15068493783473969,0.008560298010706902,33.0,0.8132283687591553,泡沫,肥皂,0.4069440960884094,0.3308897018432617,0.07059616595506668,0.5,0.0891089141368866,"[{'zh': '泡泡', 'rcs': 0.3187713325023651, 'w': 0.23235095813660003}, {'zh': '起泡', 'rcs': 0.3191709220409393, 'w': 0.23235095813660003}, {'zh': '气泡', 'rcs': 0.3949038386344909, 'w': 0.23235095813660003}, {'zh': '泡', 'rcs': 0.3404182195663452, 'w': 0.23235095813660003}]","[{'zh': '香皂', 'rcs': 0.2565927505493164, 'w': 0.5}]",0.7646963,0.7759434,0.7703198,0.17728187,0.42318115,0.30023152,1.0756430327784279
