cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",cnt_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
award,trophy,,M+E+,奖,奖杯,False,False,False,0.112676054239273,0.0287172850221396,0.115384615957737,0.485532373189926,0.297095894813538,24.0,3.33120512962341,15.0,0.337899684906006,0.239414602518082,0.211244031786919,1.0,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖学金', 'rcs': 0.2771758139133453, 'w': 0.1341402113237985}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.900814832981174,5,6,奖状,奖杯,0.719095,0.7523289,0.73571193,0.5372194,0.14404662,0.340633,,
award,pupil,,M+E-,奖学金,学生,False,False,False,0.0,0.0164098776876926,0.0384615398943424,0.0348384231328964,0.0753804072737694,0.0,1.90354573726654,4.0,0.277175813913345,0.356933832168579,0.134140208363533,1.0,"[{'zh': '奖状', 'rcs': 0.2945268452167511, 'w': 0.4758864219094916}, {'zh': '奖', 'rcs': 0.3378996849060058, 'w': 0.2112440321292032}, {'zh': '奖励', 'rcs': 0.2158609181642532, 'w': 0.10594170804027137}, {'zh': '奖金', 'rcs': 0.2081794291734695, 'w': 0.07278762659723526}]",[],0.852675709825722,5,5,奖状,学生,0.719095,0.7207131,0.71990407,0.5372194,0.26879975,0.4030096,,
award,ribbon,,M-E+,,,False,False,False,0.0140845067799091,0.0,,0.215408146381378,0.0153542952612042,3.0,0.0,,,,,,,,0.991238615253176,5,6,奖状,丝带,0.719095,0.7566797,0.7378874,0.5372194,0.4454856,0.4913525,,
barrel,wood,No replacement,M+E+,桶,木,False,True,True,0.0837209299206734,0.0168802961707115,0.0638297870755196,0.0872949287295342,0.0627294331789017,18.0,1.58674788475037,6.0,0.439433336257935,0.222880467772484,1.0,0.26445797085762,[],"[{'zh': '林地', 'rcs': 0.3142346739768982, 'w': 0.2644579592310321}, {'zh': '树林', 'rcs': 0.3620069622993469, 'w': 0.2644579592310321}, {'zh': '木头', 'rcs': 0.5249272584915161, 'w': 0.14812697031238062}, {'zh': '木材', 'rcs': 0.4958810210227966, 'w': 0.05849915199452298}]",1.09334513474836,6,4,桶,林地,0.72587246,0.72057724,0.7232249,0.19569644,0.37188697,0.28379172,,
barrel,rice,,M+E-,桶,饭,False,False,False,0.0,0.0159574467688799,0.0638297870755196,0.0619813427329063,0.0687749981880188,0.0,1.5,6.0,0.439433336257935,0.460202395915985,1.0,0.25,[],"[{'zh': '米饭', 'rcs': 0.5950742959976196, 'w': 0.25}, {'zh': '大米', 'rcs': 0.5953600406646729, 'w': 0.25}, {'zh': '米', 'rcs': 0.2004998624324798, 'w': 0.25}]",0.988582821894494,6,4,桶,米饭,0.72587246,0.86023504,0.79305375,0.19569644,0.17163135,0.1836639,y,duplicate route
barrel,rain,,M-E+,,,False,False,False,0.018604651093483,0.0,,0.0699510797858238,0.0263999998569489,4.0,0.0,,,,,,,,1.27768269558432,6,4,桶,下雨,0.72587246,0.7865754,0.7562239,0.19569644,0.34192422,0.26881033,y,global uniqueness
belt,leather,,M+E+,腰带,皮革,False,False,False,0.108490563929081,0.0101643577218056,0.0333333350718021,0.27463361620903,0.123893350362778,23.0,0.91479218006134,3.0,0.416351497173309,0.617032468318939,0.304930716753006,1.0,"[{'zh': '带', 'rcs': 0.2452611625194549, 'w': 0.3271426424436043}, {'zh': '皮带', 'rcs': 0.4041090309619903, 'w': 0.19097368060181708}, {'zh': '带子', 'rcs': 0.2921146154403686, 'w': 0.17695295689897544}]",[],1.49117042728792,4,7,带,皮革,0.76060283,0.7873352,0.77396905,0.30838487,0.21277216,0.2605785,,
belt,bloke,,M+E-,皮带,男人,False,False,False,0.0,0.0083064399659633,0.06060606241226196,0.0106775667518377,0.0152406552806497,0.0,0.822337508201599,6.0,0.40410903096199,0.384804964065552,0.190973684191704,0.717670917510986,"[{'zh': '带', 'rcs': 0.2452611625194549, 'w': 0.3271426424436043}, {'zh': '腰带', 'rcs': 0.4163514971733093, 'w': 0.3049307200556031}, {'zh': '带子', 'rcs': 0.2921146154403686, 'w': 0.17695295689897544}]","[{'zh': '家伙', 'rcs': 0.4022364318370819, 'w': 0.28232908843550797}]",1.38725062314898,4,5,带,男人,0.76060283,0.68595093,0.72327685,0.30838487,0.14578894,0.2270869,y,global uniqueness
belt,loop,,M-E+,,,False,False,False,0.0424528308212757,0.0,,0.186617642641068,0.011796684935689,9.0,0.0,,,,,,,,0.915040955295774,4,4,带,圈,0.76060283,0.65861017,0.7096065,0.30838487,0.543234,0.42580944,,
blast,bomb,,M+E+,爆炸,炸弹,False,False,False,0.133858263492584,0.0138911148533225,0.0545454546809197,0.435045540332794,0.15305694937706,17.0,1.52802264690399,6.0,0.436282813549042,0.465717256069183,0.764011323451996,0.333333343267441,"[{'zh': '响声', 'rcs': 0.3306280076503753, 'w': 0.23598869700517877}]","[{'zh': '核弹', 'rcs': 0.368561178445816, 'w': 0.3333333333333333}, {'zh': '轰炸', 'rcs': 0.3353384733200073, 'w': 0.3333333333333333}]",1.19559436602925,5,4,爆炸,核弹,0.78289163,0.8075657,0.79522866,0.20434366,0.3391666,0.27175513,,
